query_id,query,desired_location,profile_skills,desired_experience,workplace_preference,desired_job_types,job_id,title,company,description,location,workplace,experience_level,job_type,posted_at,skills,salary,url,source,label
query-0238,senior UX Designer,"Toronto, Canada",research|usability|prototyping,senior,remote,full time,query-0238-job-3,UI Engineer,Northstar Labs,We are hiring someone to build accessible responsive web applications and design systems. You will work with webpack react css html in a collaborative team.,"Toronto, Canada",onsite,senior,part time,2026-04-28 14:00:00+00:00,webpack|react|css|html,"$90,000 - $140,000",https://jobs.example/query-0238-job-3,synthetic,0
query-0223,senior Backend Engineer,"New York, USA",postgresql|python|rest api,senior,remote,full time,query-0223-job-5,Data Platform Engineer,Orbit Works,We are hiring someone to design reliable data pipelines warehouses and streaming platforms. You will work with airflow dbt spark python in a collaborative team.,Remote,hybrid,entry,contract,2026-05-23 04:00:00+00:00,airflow|dbt|spark|python,"$90,000 - $140,000",https://jobs.example/query-0223-job-5,synthetic,0
query-0022,lead Analytics Engineer,"Berlin, Germany",dbt|spark|python,lead,onsite,full time,query-0022-job-3,Data Entry Specialist,Northstar Labs,We are hiring someone to develop scalable backend services APIs and distributed systems. You will work with rest api postgresql python redis in a collaborative team.,"Berlin, Germany",remote,mid,part time,2026-04-24 22:00:00+00:00,rest api|postgresql|python|redis,,https://jobs.example/query-0022-job-3,synthetic,0
query-0228,senior ML Engineer,"Berlin, Germany",nlp|mlops|scikit learn,senior,remote,full time,query-0228-job-1,Technical Specialist,Vertex Studio,We are hiring someone to build production machine learning systems and deploy predictive models. You will work with nlp mlops scikit learn python pytorch in a collaborative team.,"Berlin, Germany",remote,senior,full time,2026-05-15 21:00:00+00:00,nlp|mlops|scikit learn|python|pytorch,,https://jobs.example/query-0228-job-1,synthetic,1
query-0190,senior UX Designer,"New York, USA",research|design systems|usability,senior,hybrid,contract,query-0190-job-1,Creative Specialist,Maple Cloud,We are hiring someone to research user needs and design intuitive digital product experiences. You will work with research design systems usability prototyping figma in a collaborative team.,"New York, USA",hybrid,senior,contract,2026-05-13 19:00:00+00:00,research|design systems|usability|prototyping|figma,,https://jobs.example/query-0190-job-1,synthetic,1
query-0195,entry Site Reliability Engineer,"London, UK",aws|kubernetes|observability,entry,remote,contract,query-0195-job-5,Data Platform Engineer,Vertex Studio,We are hiring someone to design reliable data pipelines warehouses and streaming platforms. You will work with python dbt spark airflow in a collaborative team.,"Toronto, Canada",hybrid,lead,full time,2026-05-06 07:00:00+00:00,python|dbt|spark|airflow,,https://jobs.example/query-0195-job-5,synthetic,0
query-0126,senior Frontend Engineer,Remote,react|html|testing,senior,hybrid,contract,query-0126-job-2,Frontend Engineer,Northstar Labs,"Role focused on build accessible responsive web applications and design systems, but requires entry experience and attendance in New York, USA.","New York, USA",hybrid,entry,contract,2026-05-25 12:00:00+00:00,html|css,"$90,000 - $140,000",https://jobs.example/query-0126-job-2,synthetic,0
query-0269,senior Site Reliability Engineer,"Berlin, Germany",python|kubernetes|aws,senior,remote,part time,query-0269-job-6,Python Developer,Orbit Works,We are hiring someone to develop scalable backend services APIs and distributed systems. You will work with rest api postgresql docker redis in a collaborative team.,Remote,remote,entry,part time,2026-04-30 10:00:00+00:00,rest api|postgresql|docker|redis,,https://jobs.example/query-0269-job-6,synthetic,0
query-0128,entry Application Security Engineer,"New York, USA",python|threat modeling|incident response,entry,hybrid,full time,query-0128-job-1,Risk Specialist,Maple Cloud,We are hiring someone to protect applications investigate threats and improve security controls. You will work with python threat modeling incident response cloud security in a collaborative team.,"New York, USA",hybrid,entry,full time,2026-05-14 01:00:00+00:00,python|threat modeling|incident response|cloud security,"$90,000 - $140,000",https://jobs.example/query-0128-job-1,synthetic,1
query-0269,senior Site Reliability Engineer,"Berlin, Germany",python|kubernetes|aws,senior,remote,part time,query-0269-job-0,Site Reliability Engineer,Helio Systems,We are hiring someone to operate cloud infrastructure delivery pipelines and reliable services. You will work with python kubernetes aws linux terraform in a collaborative team.,"Berlin, Germany",remote,senior,part time,2026-05-08 13:00:00+00:00,python|kubernetes|aws|linux|terraform,,https://jobs.example/query-0269-job-0,synthetic,1
query-0169,lead Data Engineer,"Berlin, Germany",python|dbt|sql,lead,remote,part time,query-0169-job-0,Data Engineer,Orbit Works,We are hiring someone to design reliable data pipelines warehouses and streaming platforms. You will work with python dbt sql airflow in a collaborative team.,"Berlin, Germany",remote,lead,part time,2026-05-26 11:00:00+00:00,python|dbt|sql|airflow,"$90,000 - $140,000",https://jobs.example/query-0169-job-0,synthetic,1
query-0065,mid Site Reliability Engineer,"New York, USA",kubernetes|python|terraform,mid,hybrid,full time,query-0065-job-7,Analytics Engineer,Northstar Labs,We are hiring someone to design reliable data pipelines warehouses and streaming platforms. You will work with sql kafka airflow spark in a collaborative team.,"Toronto, Canada",remote,senior,full time,2026-05-06 23:00:00+00:00,sql|kafka|airflow|spark,"$90,000 - $140,000",https://jobs.example/query-0065-job-7,synthetic,0
query-0164,mid Frontend Engineer,"New York, USA",testing|html|react,mid,remote,full time,query-0164-job-4,Data Platform Engineer,Orbit Works,We are hiring someone to design reliable data pipelines warehouses and streaming platforms. You will work with dbt python sql spark in a collaborative team.,"New York, USA",onsite,lead,part time,2026-05-30 23:00:00+00:00,dbt|python|sql|spark,,https://jobs.example/query-0164-job-4,synthetic,0
query-0217,lead Product Designer,"New York, USA",prototyping|research|design systems,lead,remote,full time,query-0217-job-3,Site Reliability Engineer,Vertex Studio,We are hiring someone to operate cloud infrastructure delivery pipelines and reliable services. You will work with terraform aws linux kubernetes in a collaborative team.,"Toronto, Canada",hybrid,mid,part time,2026-05-16 20:00:00+00:00,terraform|aws|linux|kubernetes,"$90,000 - $140,000",https://jobs.example/query-0217-job-3,synthetic,0
query-0162,mid Product Manager,"London, UK",agile|analytics|discovery,mid,remote,full time,query-0162-job-5,Machine Learning Engineer,Orbit Works,We are hiring someone to build production machine learning systems and deploy predictive models. You will work with nlp python scikit learn pytorch in a collaborative team.,"Toronto, Canada",onsite,mid,part time,2026-04-19 22:00:00+00:00,nlp|python|scikit learn|pytorch,"$90,000 - $140,000",https://jobs.example/query-0162-job-5,synthetic,0
query-0256,entry React Developer,Remote,webpack|react|html,entry,hybrid,full time,query-0256-job-6,Technical Product Manager,Orbit Works,We are hiring someone to lead product discovery strategy experiments and cross functional delivery. You will work with sql discovery analytics experimentation in a collaborative team.,"Toronto, Canada",onsite,mid,contract,2026-05-30 05:00:00+00:00,sql|discovery|analytics|experimentation,"$90,000 - $140,000",https://jobs.example/query-0256-job-6,synthetic,0
query-0223,senior Backend Engineer,"New York, USA",postgresql|python|rest api,senior,remote,full time,query-0223-job-6,Application Security Engineer,Northstar Labs,We are hiring someone to protect applications investigate threats and improve security controls. You will work with incident response cloud security siem threat modeling in a collaborative team.,"London, UK",onsite,mid,contract,2026-04-27 10:00:00+00:00,incident response|cloud security|siem|threat modeling,"$90,000 - $140,000",https://jobs.example/query-0223-job-6,synthetic,0
query-0139,mid API Engineer,"Berlin, Germany",python|rest api|postgresql,mid,onsite,full time,query-0139-job-4,Applied AI Engineer,Orbit Works,We are hiring someone to build production machine learning systems and deploy predictive models. You will work with nlp sql python pytorch in a collaborative team.,"New York, USA",onsite,lead,part time,2026-05-13 18:00:00+00:00,nlp|sql|python|pytorch,,https://jobs.example/query-0139-job-4,synthetic,0
query-0253,entry Applied AI Engineer,"New York, USA",scikit learn|python|mlops,entry,remote,full time,query-0253-job-0,Applied AI Engineer,Vertex Studio,We are hiring someone to build production machine learning systems and deploy predictive models. You will work with scikit learn python mlops sql in a collaborative team.,"New York, USA",remote,entry,full time,2026-05-20 15:00:00+00:00,scikit learn|python|mlops|sql,"$90,000 - $140,000",https://jobs.example/query-0253-job-0,synthetic,1
query-0149,mid Application Security Engineer,"London, UK",incident response|cloud security|python,mid,remote,contract,query-0149-job-4,Cloud Engineer,Northstar Labs,We are hiring someone to operate cloud infrastructure delivery pipelines and reliable services. You will work with aws terraform python kubernetes in a collaborative team.,Remote,onsite,mid,full time,2026-05-24 21:00:00+00:00,aws|terraform|python|kubernetes,,https://jobs.example/query-0149-job-4,synthetic,0
query-0148,senior ML Engineer,"Berlin, Germany",python|nlp|sql,senior,remote,full time,query-0148-job-6,SOC Analyst,Maple Cloud,We are hiring someone to protect applications investigate threats and improve security controls. You will work with threat modeling siem python incident response in a collaborative team.,"Toronto, Canada",hybrid,mid,contract,2026-05-11 23:00:00+00:00,threat modeling|siem|python|incident response,"$90,000 - $140,000",https://jobs.example/query-0148-job-6,synthetic,0
query-0261,mid SOC Analyst,"London, UK",incident response|siem|cloud security,mid,hybrid,contract,query-0261-job-7,UX Researcher,Maple Cloud,We are hiring someone to research user needs and design intuitive digital product experiences. You will work with research prototyping design systems figma in a collaborative team.,"Toronto, Canada",onsite,mid,contract,2026-05-14 03:00:00+00:00,research|prototyping|design systems|figma,"$90,000 - $140,000",https://jobs.example/query-0261-job-7,synthetic,0
query-0027,entry UI Engineer,"New York, USA",react|css|testing,entry,onsite,full time,query-0027-job-2,UI Engineer,Northstar Labs,"Role focused on build accessible responsive web applications and design systems, but requires mid experience and attendance in London, UK.","London, UK",onsite,mid,part time,2026-05-22 03:00:00+00:00,testing|html,"$90,000 - $140,000",https://jobs.example/query-0027-job-2,synthetic,0
query-0057,senior Site Reliability Engineer,"Berlin, Germany",kubernetes|terraform|python,senior,onsite,full time,query-0057-job-7,Product Designer,Vertex Studio,We are hiring someone to research user needs and design intuitive digital product experiences. You will work with research figma design systems usability in a collaborative team.,"New York, USA",remote,mid,full time,2026-05-13 23:00:00+00:00,research|figma|design systems|usability,,https://jobs.example/query-0057-job-7,synthetic,0
query-0064,senior DevOps Engineer,"Berlin, Germany",python|observability|aws,senior,remote,contract,query-0064-job-6,Frontend Engineer,Maple Cloud,We are hiring someone to build accessible responsive web applications and design systems. You will work with webpack html testing typescript in a collaborative team.,"Berlin, Germany",hybrid,mid,contract,2026-06-01 00:00:00+00:00,webpack|html|testing|typescript,"$90,000 - $140,000",https://jobs.example/query-0064-job-6,synthetic,0
query-0121,entry Python Developer,"Toronto, Canada",fastapi|docker|postgresql,entry,remote,full time,query-0121-job-6,Application Security Engineer,Orbit Works,We are hiring someone to protect applications investigate threats and improve security controls. You will work with incident response python threat modeling siem in a collaborative team.,"London, UK",hybrid,mid,full time,2026-05-19 03:00:00+00:00,incident response|python|threat modeling|siem,,https://jobs.example/query-0121-job-6,synthetic,0
query-0055,lead Data Platform Engineer,"New York, USA",sql|dbt|airflow,lead,hybrid,full time,query-0055-job-5,Applied AI Engineer,Orbit Works,We are hiring someone to build production machine learning systems and deploy predictive models. You will work with sql mlops python pytorch in a collaborative team.,"Toronto, Canada",hybrid,mid,part time,2026-04-20 01:00:00+00:00,sql|mlops|python|pytorch,"$90,000 - $140,000",https://jobs.example/query-0055-job-5,synthetic,0
query-0162,mid Product Manager,"London, UK",agile|analytics|discovery,mid,remote,full time,query-0162-job-6,Site Reliability Engineer,Northstar Labs,We are hiring someone to operate cloud infrastructure delivery pipelines and reliable services. You will work with kubernetes terraform python linux in a collaborative team.,"New York, USA",remote,senior,contract,2026-04-20 14:00:00+00:00,kubernetes|terraform|python|linux,"$90,000 - $140,000",https://jobs.example/query-0162-job-6,synthetic,0
query-0095,entry Frontend Engineer,"London, UK",testing|css|typescript,entry,remote,contract,query-0095-job-4,Security Engineer,Helio Systems,We are hiring someone to protect applications investigate threats and improve security controls. You will work with siem incident response threat modeling cloud security in a collaborative team.,"Berlin, Germany",hybrid,mid,full time,2026-05-07 16:00:00+00:00,siem|incident response|threat modeling|cloud security,"$90,000 - $140,000",https://jobs.example/query-0095-job-4,synthetic,0
query-0071,entry DevOps Engineer,"Toronto, Canada",terraform|observability|kubernetes,entry,onsite,full time,query-0071-job-7,Application Security Engineer,Vertex Studio,We are hiring someone to protect applications investigate threats and improve security controls. You will work with incident response python threat modeling siem in a collaborative team.,Remote,onsite,lead,contract,2026-05-23 08:00:00+00:00,incident response|python|threat modeling|siem,"$90,000 - $140,000",https://jobs.example/query-0071-job-7,synthetic,0
query-0007,senior Technical Product Manager,"New York, USA",roadmaps|discovery|analytics,senior,hybrid,full time,query-0007-job-0,Technical Product Manager,Northstar Labs,We are hiring someone to lead product discovery strategy experiments and cross functional delivery. You will work with roadmaps discovery analytics experimentation in a collaborative team.,"New York, USA",hybrid,senior,full time,2026-05-27 18:00:00+00:00,roadmaps|discovery|analytics|experimentation,"$90,000 - $140,000",https://jobs.example/query-0007-job-0,synthetic,1
query-0139,mid API Engineer,"Berlin, Germany",python|rest api|postgresql,mid,onsite,full time,query-0139-job-5,Product Owner,Helio Systems,We are hiring someone to lead product discovery strategy experiments and cross functional delivery. You will work with experimentation sql discovery agile in a collaborative team.,"London, UK",remote,senior,full time,2026-06-01 11:00:00+00:00,experimentation|sql|discovery|agile,"$90,000 - $140,000",https://jobs.example/query-0139-job-5,synthetic,0
query-0251,mid Product Designer,"Berlin, Germany",figma|prototyping|design systems,mid,onsite,full time,query-0251-job-6,Cloud Engineer,Helio Systems,We are hiring someone to operate cloud infrastructure delivery pipelines and reliable services. You will work with linux terraform aws kubernetes in a collaborative team.,"London, UK",remote,entry,part time,2026-05-08 04:00:00+00:00,linux|terraform|aws|kubernetes,,https://jobs.example/query-0251-job-6,synthetic,0
query-0266,senior Technical Product Manager,"Berlin, Germany",experimentation|roadmaps|discovery,senior,remote,full time,query-0266-job-4,API Engineer,Helio Systems,We are hiring someone to develop scalable backend services APIs and distributed systems. You will work with fastapi redis docker python in a collaborative team.,"Berlin, Germany",hybrid,senior,full time,2026-04-21 12:00:00+00:00,fastapi|redis|docker|python,"$90,000 - $140,000",https://jobs.example/query-0266-job-4,synthetic,0
query-0281,lead DevOps Engineer,"Toronto, Canada",python|observability|linux,lead,remote,full time,query-0281-job-4,Python Developer,Helio Systems,We are hiring someone to develop scalable backend services APIs and distributed systems. You will work with postgresql redis fastapi rest api in a collaborative team.,"Berlin, Germany",hybrid,lead,contract,2026-05-02 19:00:00+00:00,postgresql|redis|fastapi|rest api,,https://jobs.example/query-0281-job-4,synthetic,0
query-0138,mid Backend Engineer,"New York, USA",redis|rest api|docker,mid,hybrid,contract,query-0138-job-1,Software Specialist,Orbit Works,We are hiring someone to develop scalable backend services APIs and distributed systems. You will work with redis rest api docker in a collaborative team.,"New York, USA",hybrid,mid,contract,2026-05-29 19:00:00+00:00,redis|rest api|docker,,https://jobs.example/query-0138-job-1,synthetic,1
query-0136,mid UX Researcher,"Berlin, Germany",research|prototyping|figma,mid,onsite,full time,query-0136-job-3,Site Reliability Engineer,Maple Cloud,We are hiring someone to operate cloud infrastructure delivery pipelines and reliable services. You will work with observability kubernetes linux terraform in a collaborative team.,"Berlin, Germany",hybrid,entry,contract,2026-04-27 10:00:00+00:00,observability|kubernetes|linux|terraform,,https://jobs.example/query-0136-job-3,synthetic,0
query-0209,lead Product Manager,Remote,analytics|roadmaps|sql,lead,hybrid,full time,query-0209-job-1,Program Lead,Helio Systems,We are hiring someone to lead product discovery strategy experiments and cross functional delivery. You will work with analytics roadmaps sql discovery in a collaborative team.,Remote,hybrid,lead,full time,2026-05-31 11:00:00+00:00,analytics|roadmaps|sql|discovery,"$90,000 - $140,000",https://jobs.example/query-0209-job-1,synthetic,1
query-0052,mid Security Engineer,"Toronto, Canada",siem|python|incident response,mid,onsite,full time,query-0052-job-6,Python Developer,Orbit Works,We are hiring someone to develop scalable backend services APIs and distributed systems. You will work with docker python redis fastapi in a collaborative team.,"Berlin, Germany",hybrid,senior,full time,2026-05-25 04:00:00+00:00,docker|python|redis|fastapi,"$90,000 - $140,000",https://jobs.example/query-0052-job-6,synthetic,0
query-0227,lead Site Reliability Engineer,"Berlin, Germany",terraform|observability|python,lead,onsite,full time,query-0227-job-6,Frontend Engineer,Maple Cloud,We are hiring someone to build accessible responsive web applications and design systems. You will work with html react testing typescript in a collaborative team.,"Berlin, Germany",hybrid,entry,part time,2026-04-25 23:00:00+00:00,html|react|testing|typescript,"$90,000 - $140,000",https://jobs.example/query-0227-job-6,synthetic,0
query-0242,mid DevOps Engineer,Remote,linux|python|terraform,mid,hybrid,full time,query-0242-job-6,UX Researcher,Maple Cloud,We are hiring someone to research user needs and design intuitive digital product experiences. You will work with usability figma research prototyping in a collaborative team.,"Toronto, Canada",hybrid,entry,part time,2026-05-28 18:00:00+00:00,usability|figma|research|prototyping,"$90,000 - $140,000",https://jobs.example/query-0242-job-6,synthetic,0
query-0284,lead Data Engineer,"London, UK",python|sql|dbt,lead,hybrid,full time,query-0284-job-4,UX Researcher,Maple Cloud,We are hiring someone to research user needs and design intuitive digital product experiences. You will work with usability design systems research prototyping in a collaborative team.,"London, UK",onsite,entry,full time,2026-05-31 12:00:00+00:00,usability|design systems|research|prototyping,"$90,000 - $140,000",https://jobs.example/query-0284-job-4,synthetic,0
query-0293,senior React Developer,"New York, USA",typescript|webpack|react,senior,remote,full time,query-0293-job-6,DevOps Engineer,Vertex Studio,We are hiring someone to operate cloud infrastructure delivery pipelines and reliable services. You will work with aws kubernetes observability terraform in a collaborative team.,"London, UK",onsite,senior,part time,2026-05-02 12:00:00+00:00,aws|kubernetes|observability|terraform,"$90,000 - $140,000",https://jobs.example/query-0293-job-6,synthetic,0
query-0179,mid Product Owner,"New York, USA",analytics|sql|discovery,mid,hybrid,full time,query-0179-job-3,Security Engineer,Northstar Labs,We are hiring someone to protect applications investigate threats and improve security controls. You will work with python threat modeling siem cloud security in a collaborative team.,"Toronto, Canada",onsite,mid,part time,2026-05-02 12:00:00+00:00,python|threat modeling|siem|cloud security,"$90,000 - $140,000",https://jobs.example/query-0179-job-3,synthetic,0
query-0169,lead Data Engineer,"Berlin, Germany",python|dbt|sql,lead,remote,part time,query-0169-job-3,Data Entry Specialist,Northstar Labs,We are hiring someone to lead product discovery strategy experiments and cross functional delivery. You will work with discovery experimentation agile roadmaps in a collaborative team.,"Berlin, Germany",hybrid,senior,part time,2026-04-18 13:00:00+00:00,discovery|experimentation|agile|roadmaps,,https://jobs.example/query-0169-job-3,synthetic,0
query-0199,entry UI Engineer,Remote,react|testing|css,entry,hybrid,full time,query-0199-job-7,ML Engineer,Northstar Labs,We are hiring someone to build production machine learning systems and deploy predictive models. You will work with sql nlp pytorch python in a collaborative team.,"London, UK",remote,entry,full time,2026-05-01 07:00:00+00:00,sql|nlp|pytorch|python,"$90,000 - $140,000",https://jobs.example/query-0199-job-7,synthetic,0
query-0219,mid Data Engineer,"Berlin, Germany",dbt|sql|airflow,mid,hybrid,full time,query-0219-job-1,Platform Specialist,Maple Cloud,We are hiring someone to design reliable data pipelines warehouses and streaming platforms. You will work with dbt sql airflow spark kafka in a collaborative team.,"Berlin, Germany",hybrid,mid,full time,2026-04-30 05:00:00+00:00,dbt|sql|airflow|spark|kafka,,https://jobs.example/query-0219-job-1,synthetic,1
query-0117,mid API Engineer,"London, UK",postgresql|fastapi|redis,mid,hybrid,full time,query-0117-job-5,Technical Product Manager,Vertex Studio,We are hiring someone to lead product discovery strategy experiments and cross functional delivery. You will work with sql experimentation agile discovery in a collaborative team.,"London, UK",remote,senior,part time,2026-05-10 20:00:00+00:00,sql|experimentation|agile|discovery,,https://jobs.example/query-0117-job-5,synthetic,0
query-0206,senior Frontend Engineer,"Berlin, Germany",testing|typescript|react,senior,remote,full time,query-0206-job-2,Frontend Engineer,Northstar Labs,"Role focused on build accessible responsive web applications and design systems, but requires entry experience and attendance in Remote.",Remote,onsite,entry,full time,2026-05-31 10:00:00+00:00,typescript|css,"$90,000 - $140,000",https://jobs.example/query-0206-job-2,synthetic,0
query-0120,lead Data Engineer,"Toronto, Canada",dbt|spark|airflow,lead,remote,full time,query-0120-job-2,Data Engineer,Orbit Works,"Role focused on design reliable data pipelines warehouses and streaming platforms, but requires mid experience and attendance in Remote.",Remote,onsite,mid,part time,2026-05-07 02:00:00+00:00,sql|kafka,,https://jobs.example/query-0120-job-2,synthetic,0
query-0222,mid React Developer,"New York, USA",typescript|react|css,mid,remote,contract,query-0222-job-1,Product Engineer,Vertex Studio,We are hiring someone to build accessible responsive web applications and design systems. You will work with typescript react css in a collaborative team.,"New York, USA",remote,mid,contract,2026-04-30 02:00:00+00:00,typescript|react|css,"$90,000 - $140,000",https://jobs.example/query-0222-job-1,synthetic,1
query-0089,entry Product Designer,"Toronto, Canada",design systems|usability|figma,entry,remote,contract,query-0089-job-7,Data Engineer,Vertex Studio,We are hiring someone to design reliable data pipelines warehouses and streaming platforms. You will work with kafka spark sql dbt in a collaborative team.,"Toronto, Canada",onsite,senior,full time,2026-05-23 14:00:00+00:00,kafka|spark|sql|dbt,"$90,000 - $140,000",https://jobs.example/query-0089-job-7,synthetic,0
query-0157,senior Analytics Engineer,"New York, USA",spark|python|dbt,senior,hybrid,full time,query-0157-job-3,Data Entry Specialist,Orbit Works,We are hiring someone to protect applications investigate threats and improve security controls. You will work with siem incident response cloud security python in a collaborative team.,"Berlin, Germany",onsite,lead,contract,2026-04-25 16:00:00+00:00,siem|incident response|cloud security|python,,https://jobs.example/query-0157-job-3,synthetic,0
query-0051,mid ML Engineer,"New York, USA",sql|pytorch|python,mid,remote,full time,query-0051-job-6,Security Engineer,Vertex Studio,We are hiring someone to protect applications investigate threats and improve security controls. You will work with threat modeling cloud security python siem in a collaborative team.,"Toronto, Canada",hybrid,lead,full time,2026-05-29 10:00:00+00:00,threat modeling|cloud security|python|siem,"$90,000 - $140,000",https://jobs.example/query-0051-job-6,synthetic,0
query-0236,mid Site Reliability Engineer,"Toronto, Canada",observability|python|linux,mid,hybrid,full time,query-0236-job-3,Analytics Engineer,Helio Systems,We are hiring someone to design reliable data pipelines warehouses and streaming platforms. You will work with airflow spark kafka dbt in a collaborative team.,"Berlin, Germany",onsite,senior,full time,2026-05-22 21:00:00+00:00,airflow|spark|kafka|dbt,"$90,000 - $140,000",https://jobs.example/query-0236-job-3,synthetic,0
